Item,Sentence
1,The windows were dark
2,The windows were open
3,The walls were bare
4,The walls were white
5,The streets were full
6,The streets were quiet
7,The shops were closed
8,The shares were unchanged
9,The rooms were small
10,The roads were busy
11,The results were encouraging
12,The results were disappointing
13,The results were gratifying
14,The pubs were full
15,The pubs were open
16,The people were friendly
17,The papers were full
18,The omens were good
19,The numbers were small
20,The natives were friendly
21,The men were guilty
22,The items were unreasonable
23,The injuries were consistent
24,The guests were due
25,The gates were open
26,The facts were similar
27,The eyes were bright
28,The eyes were open
29,The doors were closed
30,The doors were open
31,The dogs were quiet
32,The defendants were liable
33,The defendants were guilty
34,The curtains were open
35,The conditions were appalling
36,The conditions were difficult
37,The colors were bright
38,The classes were small
39,The children were small
40,The children were young
